325,"Personal Items","Chaps",
326,"Personal Items","Combs",
327,"Personal Items","Costume",
328,"Personal Items","Curlers",
329,"Personal Items","Dryer",
330,"Personal Items","Coat - Fur",
331,"Personal Items","Hat",
332,"Personal Items","Handcuffs",
333,"Personal Items","Jacket",
334,"Personal Items","Massager",
335,"Personal Items","Mitts",
336,"Personal Items","Muks",
337,"Personal Items","Pants",
338,"Personal Items","Purse",
339,"Personal Items","Razor",
340,"Personal Items","Shaver",
341,"Personal Items","Skirt",
342,"Personal Items","Slippers",
343,"Personal Items","Vest",
344,"Personal Items","Whip",
345,"Personal Items","--- Other ---",
346,"Personal Items","Coat - Leather",
347,"Personal Items","Sunglasses",
348,"Personal Items","Blanket",
349,"Personal Items","Duvet",
350,"Personal Items","Ornaments",
351,"Riding Equipment","Bareback Rigging",
352,"Riding Equipment","Chaps",
353,"Riding Equipment","Spurs",
354,"Riding Equipment","Saddle",
355,"Riding Equipment","Bridle",
356,"Riding Equipment","Flack Jacket",
357,"Riding Equipment","Roping Equipment",
358,"Riding Equipment","--- Other ---",
359,"Sporting Goods","Ball",
360,"Sporting Goods","Bat",
361,"Sporting Goods","Ball Glove",
362,"Sporting Goods","Rowing Machine",
363,"Sporting Goods","Dumbbell",
364,"Sporting Goods","Helmet",
365,"Sporting Goods","Hockey Equipment",
366,"Sporting Goods","Ice Auger-Power",
367,"Sporting Goods","Knife",
368,"Sporting Goods","Monocular",
369,"Sporting Goods","Pool Cue Case",
370,"Sporting Goods","Pool Cue",
371,"Sporting Goods","Punching Bag",
372,"Sporting Goods","Racquet",
373,"Sporting Goods","Rollerblades",
374,"Sporting Goods","Skis",
375,"Sporting Goods","Skates",
376,"Sporting Goods","Sparing Gloves",
377,"Sporting Goods","Spotting Scope",
378,"Sporting Goods","Ski Boots",
379,"Sporting Goods","Sword",
380,"Sporting Goods","Tackle Box",
381,"Sporting Goods","Weight Bench",
382,"Sporting Goods","Weights",
383,"Sporting Goods","Weight Belt",
384,"Sporting Goods","--- Other ---",
385,"Sporting Goods","Tent",
386,"Sporting Goods","Treadmill",
387,"Sporting Goods","Trampoline",
388,"Sporting Goods","Football",
389,"Sporting Goods","Basketball",
390,"Sporting Goods","Ice Auger-Hand",
391,"Sporting Goods","Football Equipment",
392,"Sporting Goods","Knife",
393,"Sporting Goods","Scope",
394,"Sporting Goods","Sleeping Bag",
395,"Sporting Goods","Bow - Compound",
396,"Sporting Goods","Bow – Recurve",
397,"Sporting Goods","Bow - Arrows",
398,"Sporting Goods","Propane Lantern",
399,"Sporting Goods","Propane Camp Stove",
400,"Sporting Goods","Air Gun",
401,"Sporting Goods","Snowboard",
402,"Sporting Goods","Paintball Gun",
403,"Sporting Goods","Golf Cart",
404,"Sporting Goods","Exercise Equipment",
405,"Sporting Goods","Winter Sports Equipment",
406,"Sporting Goods","Skateboard",
407,"Sporting Goods","Snowboard Boots",
408,"Sporting Goods","Ski Bindings",
409,"Sporting Goods","Snowboard Bindings",
410,"Sporting Goods","Badminton Racket",
411,"Sporting Goods","Wakeboard",
412,"Sporting Goods","Golf Clubs",
413,"Sporting Goods","Camping Equipment",
414,"Sporting Goods","Tennis Rackets",
415,"Stereo/Audio/Radio","Clock/Cassette",
416,"Stereo/Audio/Radio","Amp",
417,"Stereo/Audio/Radio","CD Player",
418,"Stereo/Audio/Radio","Clock Radio",
419,"Stereo/Audio/Radio","Cassette Recorder",
420,"Stereo/Audio/Radio","Equalizer",
421,"Stereo/Audio/Radio","Ghetto Blaster",
422,"Stereo/Audio/Radio","Ghetto/CD Unit",
423,"Stereo/Audio/Radio","Karaoke Machine",
424,"Stereo/Audio/Radio","Microcassette Rec.",
425,"Stereo/Audio/Radio","Discman",
426,"Stereo/Audio/Radio","Pre-Amp",
427,"Stereo/Audio/Radio","Radio",
428,"Stereo/Audio/Radio","Recorder",
429,"Stereo/Audio/Radio","Receiver",
430,"Stereo/Audio/Radio","Scanner",
431,"Stereo/Audio/Radio","Speaker",
432,"Stereo/Audio/Radio","Stereo",
433,"Stereo/Audio/Radio","Tape Deck",
434,"Stereo/Audio/Radio","Turntable",
435,"Stereo/Audio/Radio","Tuner",
436,"Stereo/Audio/Radio","Walkman",
437,"Stereo/Audio/Radio","--- Other ---",
438,"Stereo/Audio/Radio","Stereo Component",
439,"Stereo/Audio/Radio","Subwoofer",
440,"Stereo/Audio/Radio","Mini Disc Player",
441,"Stereo/Audio/Radio","Headphone",
442,"Stereo/Audio/Radio","Stereo - Mini",
443,"Stereo/Audio/Radio","Loud Speakers",
444,"Stereo/Audio/Radio","MP3 Player",
445,"Telecommunications","Answering Machine",
446,"Telecommunications","Pager",
447,"Telecommunications","Radio-CB",
448,"Telecommunications","Phone-Cellular",
449,"Telecommunications","Radio-Emergency",
450,"Telecommunications","Fax Machine",
451,"Telecommunications","Headphones",
452,"Telecommunications","Phone",
453,"Telecommunications","Scanners",
454,"Telecommunications","Transceiver",
455,"Telecommunications","--- Other ---",
456,"Telecommunications","Phone-Cordless",
457,"Telecommunications","Radio-2 Way",
458,"Telecommunications","GPS Receiver",
459,"Television/Video","Converter",
460,"Television/Video","Mini TV",
461,"Television/Video","LCD Projector",
462,"Television/Video","Remote Control",
463,"Television/Video","TV/VCR Unit",
464,"Television/Video","TV & Remote",
465,"Television/Video","Television",
466,"Television/Video","VCR",
467,"Television/Video","Video Tape",
468,"Television/Video","VCR & Remote",
469,"Television/Video","DVD Disk",
470,"Television/Video","--- Other ---",
471,"Television/Video","DVD Player",
472,"Television/Video","Laser Disc Player",
473,"Television/Video","Satellite Dish",
474,"Television/Video","TV/DVD Unit",
475,"Television/Video","VCR/DVD Unit",
476,"Television/Video","Accessories -Other-",
477,"Television/Video","Accessories Converter",
478,"Television/Video","Accessories Remote",
479,"Television/Video","Accessories Tape Rewinder",
480,"Television/Video","Media -Other-",
481,"Television/Video","Media Video Tape",
482,"Television/Video","Media DVD Disc",
483,"Television/Video","Media Laser Disk",
484,"Tools","Wrenches",
485,"Tools","Screw Drivers",
486,"Tools","Drill-Hand",
487,"Tools","Battery Charger",
488,"Tools","Bolt Cutter",
489,"Tools","Belt Sander",
490,"Tools","Bench Grinder",
491,"Tools","Buffer",
492,"Tools","Saw - Circular",
493,"Tools","Drill-Power",
494,"Tools","Glue Gun",
495,"Tools","Grinder",
496,"Tools","Hammer",
497,"Tools","Drill-Hammer",
498,"Tools","Impact",
499,"Tools","Jack - Car",
500,"Tools","Saw - Jigsaw",
501,"Tools","Jackall",
502,"Tools","Moto-Tool",
503,"Tools","Saw - Mitre",
504,"Tools","Planer",
505,"Tools","Polisher",
506,"Tools","Ratchet",
507,"Tools","Saw - Reciprocating",
508,"Tools","Router",
509,"Tools","Saw - Radial Arm",
510,"Tools","Sander",
511,"Tools","Saw - Scroll",
512,"Tools","Screwdriver (Electric)",
513,"Tools","Solder Gun",
514,"Tools","Socket Set",
515,"Tools","Stapler",
516,"Tools","Sawzall",
517,"Tools","Tap & Die Set",
518,"Tools","Tool Belt",
519,"Tools","Tool Set",
520,"Tools","Tool Box",
521,"Tools","Tool Misc.",
522,"Tools","--- Other ---",
523,"Tools","Winch",
524,"Tools","Converter",
525,"Tools","Heater - Car",
526,"Tools","Saw - Chain",
527,"Tools","Saw - Table Saw",
528,"Tools","Saw- Band",
529,"Tools","Drill-Cordless",
530,"Tools","Saw",
531,"Tools","Bit Set",
532,"Tools","Saw - Compound",
533,"Tools","Dremel",
534,"Tools","Drill",
535,"Tools","Drill Bits",
536,"Tools","Saw-Trim",
537,"Tools","Ladder",
538,"Tools-Industrial","Acetylene",
539,"Tools-Industrial","Air Compressor",
540,"Tools-Industrial","Air Tank",
541,"Tools-Industrial","Bazooka/For Taping",
542,"Tools-Industrial","Saw - Bandsaw",
543,"Tools-Industrial","Saw - Cement",
544,"Tools-Industrial","Chain Hoist",
545,"Tools-Industrial","Carpet Kicker",
546,"Tools-Industrial","Carpet Stretcher",
547,"Tools-Industrial","Drill Press",
548,"Tools-Industrial","Edgebander",
549,"Tools-Industrial","Generator",
550,"Tools-Industrial","Joiner",
